record_id,抓取日期,广告ID,产品,核心卖点,日报筛选标签,玩法族,筛选原因,同玩法素材数,建议素材标签
recvjfZ8O4ZdXk,2026-05-10,cab8a70bec4d4de9f116cdc3259efa65,AI Mirror: AI Photo & Video,两张照片一键 AI 融合生成温馨合影特效,老玩法换素材,双人照片融合合影,玩法族近 7 天已出现，首次玩法日期 2026-05-07；匹配历史玩法：双人照片融合合影。,,embedding重复候选、日报:老玩法换素材、玩法族:双人照片融合合影
recvjfZ8O432Yc,2026-05-10,f7e115dd02c1ccd2e3e42a2dc426e249,AI Mirror: AI Photo & Video,两张独立照片一键生成母亲节手绘风格合照,老玩法换素材,双人照片融合合影,玩法族近 7 天已出现，首次玩法日期 2026-05-07；匹配历史玩法：双人照片融合合影。,,日报:老玩法换素材、玩法族:双人照片融合合影
recvjfZ8O4JXHB,2026-05-10,ff56a046ecbc4cd9b5120d70b4a45fc4,AI Mirror: AI Photo & Video,普通单人照一键合成温馨母女艺术合照,老玩法换素材,双人照片融合合影,玩法族近 7 天已出现，首次玩法日期 2026-05-07；匹配历史玩法：双人照片融合合影。,,日报:老玩法换素材、玩法族:双人照片融合合影
recvjfZ8O4JCQO,2026-05-10,1eb54aa003007c3d48ac28efc50f1571,GIO - AI Photoshoot Generator,真人演示一键生成商务级 AI 头像特效,老玩法换素材,自拍生成风格写真肖像,玩法族近 7 天已出现，首次玩法日期 2026-05-07；匹配历史玩法：自拍生成风格写真肖像。,,日报:老玩法换素材、玩法族:自拍生成风格写真肖像
recvjfZ8O4wWuQ,2026-05-10,471185bd906bb4480904021d3225dec6,GIO - AI Photoshoot Generator,普通自拍一键生成黑白艺术肖像特效,老玩法换素材,自拍生成风格写真肖像,玩法族近 7 天已出现，首次玩法日期 2026-05-07；匹配历史玩法：自拍生成风格写真肖像。,,日报:老玩法换素材、玩法族:自拍生成风格写真肖像
recvjfZ8O4ewAN,2026-05-10,070a35b1c117997931d4b0d2c9b49cc2,Glam AI:Video & Photo Editor,单人自拍生成多套生日写真，无需实景拍摄,老玩法换素材,自拍生成风格写真肖像,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：自拍生成风格写真肖像。,,日报:老玩法换素材、玩法族:自拍生成风格写真肖像
recvjfZ8O44LZE,2026-05-10,0d754f9c19a9b91b5b9842f3f5b5fa05,Glam AI:Video & Photo Editor,普通照片一键生成机车皮衣风格 AI 写真大片,老玩法换素材,自拍生成风格写真肖像,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：自拍生成风格写真肖像。,,擦边露肤风险、日报:老玩法换素材、玩法族:自拍生成风格写真肖像
recvjfZ8O4h6Ij,2026-05-10,553c15edf7e1ceadd9a0b4ba93c44bb2,Glam AI:Video & Photo Editor,真人照片一键合成名人合影特效,老玩法换素材,双人照片融合合影,玩法族近 7 天已出现，首次玩法日期 2026-05-08；匹配历史玩法：双人照片融合合影。,,版权名人风险、日报:老玩法换素材、玩法族:双人照片融合合影
recvjfZ8O4K4Gu,2026-05-10,9d74d937ffa58ee4c1e19462d1bf25bd,Glam AI:Video & Photo Editor,静态照片生成动态街头视频特效,老玩法换素材,照片生成动态视频,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：照片生成动态视频。,,日报:老玩法换素材、玩法族:照片生成动态视频
recvjfZ8O4bvow,2026-05-10,b02ff03379ddfd848ef3db6f6fbdb95d,Glam AI:Video & Photo Editor,普通自拍一键生成明星走红毯梦幻生活视频,老玩法换素材,自拍生成风格写真肖像,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：自拍生成风格写真肖像。,,擦边露肤风险、日报:老玩法换素材、玩法族:自拍生成风格写真肖像
recvjfZ8O41p9Q,2026-05-10,254cca797ac7be7006340225a7e784fe,Pixverse:AI Video Generator,自拍一键生成电影级 realistic 动态视频,老玩法换素材,照片生成动态视频,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：照片生成动态视频。,,擦边露肤风险、版权名人风险、日报:老玩法换素材、玩法族:照片生成动态视频
recvjfZ8O4JOxq,2026-05-10,2cd571d6ea03be399a3bdd8e41650a50,Pixverse:AI Video Generator,静态照片生成电影级 CGI 动作视频,老玩法换素材,照片生成特效变身视频,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：照片生成特效变身视频。,,版权名人风险、日报:老玩法换素材、玩法族:照片生成特效变身视频
recvjfZ8O4znjE,2026-05-10,4cf76d7ba5702c5199d41539a8d23f05,Pixverse:AI Video Generator,静态照片生成动态视频及换装写真特效,老玩法换素材,照片生成特效变身视频,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：照片生成特效变身视频。,,日报:老玩法换素材、玩法族:照片生成特效变身视频
recvjfZ8O4DuFX,2026-05-10,599dc5c390682a2f3fbb7e6a8bcef2da,Pixverse:AI Video Generator,静态照片融合生成奇幻战斗动画视频,老玩法换素材,双人照片融合合影,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：双人照片融合合影。,,日报:老玩法换素材、玩法族:双人照片融合合影
recvjfZ8O4Ma8d,2026-05-10,5bb5d3b88a963e3d144484cc4e16b0b9,Pixverse:AI Video Generator,真人抛牌瞬间变身奇幻女王特效展示,老玩法换素材,照片生成动态视频,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：照片生成动态视频。,,日报:老玩法换素材、玩法族:照片生成动态视频
recvjfZ8O4LHMG,2026-05-10,5e89e5acb736cfb7e4e02967f6721c82,Pixverse:AI Video Generator,静态照片一键生成奇幻铠甲变身动态视频,老玩法换素材,照片生成特效变身视频,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：照片生成特效变身视频。,,日报:老玩法换素材、玩法族:照片生成特效变身视频
recvjfZ8O4qKe0,2026-05-10,6c06c33afd2606d014d6850ce22cdd88,Pixverse:AI Video Generator,静态照片结合文本提示词生成电影级打斗视频,老玩法换素材,提示词生成剧情视频,玩法族近 7 天已出现，首次玩法日期 2026-05-08；匹配历史玩法：提示词生成剧情视频。,,擦边露肤风险、版权名人风险、日报:老玩法换素材、玩法族:提示词生成剧情视频
recvjfZ8O4xONW,2026-05-10,868bcbc3ebf08941d773de492850986c,Pixverse:AI Video Generator,真人视频变身科幻特效，海量模板免费生成,老玩法换素材,照片生成特效变身视频,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：照片生成特效变身视频。,,日报:老玩法换素材、玩法族:照片生成特效变身视频
recvjfZ8O4lqF5,2026-05-10,8965448ad405e8b07f8c291b1aee7cc3,Pixverse:AI Video Generator,静态照片生成人物置身透明足球内的动态特效,老玩法换素材,照片生成动态视频,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：照片生成动态视频。,,日报:老玩法换素材、玩法族:照片生成动态视频
recvjfZ8O4E0TZ,2026-05-10,9143aad63e7ba1007c8085a2754281d8,Pixverse:AI Video Generator,AI 生成鲨鱼头特效视频与身材变身效果,老玩法换素材,人物动物融合奇幻视频,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：人物动物融合奇幻视频。,,日报:老玩法换素材、玩法族:人物动物融合奇幻视频
recvjfZ8O4QHjK,2026-05-10,a1909926aafb9f87023c89f390409b8b,Pixverse:AI Video Generator,照片文本一键转视频及首尾帧控制特效,老玩法换素材,照片生成特效变身视频,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：照片生成特效变身视频。,,日报:老玩法换素材、玩法族:照片生成特效变身视频
recvjfZ8O4ps2s,2026-05-10,a77d5e00870714e0ed9efbd697a3c68d,Pixverse:AI Video Generator,真人照片一键生成口袋玩偶动画特效,老玩法换素材,照片生成动态视频,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：照片生成动态视频。,,日报:老玩法换素材、玩法族:照片生成动态视频
recvjfZ8O4JBPv,2026-05-10,a7ee906fbc7d91655aa1218e6ad7dc8b,Pixverse:AI Video Generator,静态照片生成骑乘恐龙动态视频,老玩法换素材,人物动物融合奇幻视频,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：人物动物融合奇幻视频。,,日报:老玩法换素材、玩法族:人物动物融合奇幻视频
recvjfZ8O41s5v,2026-05-10,aae6443adc7ef02aa08def723ac83f78,Pixverse:AI Video Generator,静态照片一键生成进入足球比赛动态视频,老玩法换素材,照片生成动态视频,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：照片生成动态视频。,,日报:老玩法换素材、玩法族:照片生成动态视频
recvjfZ8O45wvP,2026-05-10,ad9615adf45863c9e58a99e6c3e75e17,Pixverse:AI Video Generator,真人照片变 3D 手办特效与视频动作复制,老玩法换素材,照片生成动态视频,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：照片生成动态视频。,,日报:老玩法换素材、玩法族:照片生成动态视频
recvjfZ8O4jHYu,2026-05-10,afa2c8487d9ea97346b17c21fba1490a,Pixverse:AI Video Generator,真人照片一键变身紫色霓虹科幻战甲角色特效,老玩法换素材,照片生成特效变身视频,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：照片生成特效变身视频。,,产品不适配风险、擦边露肤风险、日报:老玩法换素材、玩法族:照片生成特效变身视频
recvjfZ8O44wDo,2026-05-10,b18c3f31f21197864ea1903d41207358,Pixverse:AI Video Generator,上传照片生成与 crush 互动视频特效,老玩法换素材,照片生成动态视频,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：照片生成动态视频。,,版权名人风险、日报:老玩法换素材、玩法族:照片生成动态视频
recvjfZ8O4LSlf,2026-05-10,b33d3edae4dbe9ad36ca013847bbfc6e,Pixverse:AI Video Generator,老照片一键复活为彩色动态视频，分屏对比,老玩法换素材,老照片修复增强动态化,玩法族近 7 天已出现，首次玩法日期 2026-05-07；匹配历史玩法：老照片修复增强动态化。,,日报:老玩法换素材、玩法族:老照片修复增强动态化
recvjfZ8O4nvRd,2026-05-10,cbe409578d7c77413124c4763b769bc4,Pixverse:AI Video Generator,AI 照片一键变身不同年龄性别角色视频,老玩法换素材,照片生成变龄性别视频,玩法族近 7 天已出现，首次玩法日期 2026-05-08；匹配历史玩法：照片生成变龄性别视频。,,日报:老玩法换素材、玩法族:照片生成变龄性别视频
recvjfZ8O4db3r,2026-05-10,cfd73ccc2d3e3358a3c7102395fe30c5,Pixverse:AI Video Generator,多图融合生成奇幻骑行视频特效,老玩法换素材,双人照片融合合影,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：双人照片融合合影。,,embedding重复候选、日报:老玩法换素材、玩法族:双人照片融合合影
recvjfZ8O45lre,2026-05-10,e03a407bc0bfdcae5507bd02c7ec83fc,Pixverse:AI Video Generator,真人风格展示孕肚内衣场景，演示 AI 生成视频,老玩法换素材,照片生成动态视频,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：照片生成动态视频。,,擦边露肤风险、产品不适配风险、日报:老玩法换素材、玩法族:照片生成动态视频
recvjfZ8O45qHt,2026-05-10,f1c49b6b69138d26bc479a4977879743,Pixverse:AI Video Generator,静态照片生成火焰动态特效视频,老玩法换素材,照片生成特效变身视频,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：照片生成特效变身视频。,,版权名人风险、日报:老玩法换素材、玩法族:照片生成特效变身视频
recvjfZ8O4lN9n,2026-05-10,f3917b2191acdf1f0f1eabf67ff941d7,Pixverse:AI Video Generator,分屏真人场景展示 AI 照片转视频功能,老玩法换素材,照片生成变龄性别视频,玩法族近 7 天已出现，首次玩法日期 2026-05-08；匹配历史玩法：照片生成变龄性别视频。,,日报:老玩法换素材、玩法族:照片生成变龄性别视频
recvjfZ8O4Z9n5,2026-05-10,f5366e645731e0377283d7ed850eb217,Pixverse:AI Video Generator,真人照片转换性别外貌，展示 AI 视频模板,老玩法换素材,照片生成变龄性别视频,玩法族近 7 天已出现，首次玩法日期 2026-05-08；匹配历史玩法：照片生成变龄性别视频。,,产品不适配风险、擦边露肤风险、日报:老玩法换素材、玩法族:照片生成变龄性别视频
recvjfZ8O4pkSd,2026-05-10,57a59320f811a787fb6f44268f76ff70,Remini - AI Photo Enhancer,界面录屏展示多场景照片，替代相机 AI 修图,老玩法换素材,照片生成动态视频,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：照片生成动态视频。,,日报:老玩法换素材、玩法族:照片生成动态视频
recvjfZ8O4gZMa,2026-05-10,8a6b5dabefb0b2f1ee3979ffbb22cd27,Remini - AI Photo Enhancer,AI 生成双人合影特效，自拍合成复古闪光灯照,老玩法换素材,双人照片融合合影,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：双人照片融合合影。,,日报:老玩法换素材、玩法族:双人照片融合合影
recvjfZ8O4sBnl,2026-05-10,9585d1ccc348ef39415e586fadc8232e,Remini - AI Photo Enhancer,AI 自拍转专业写真及老照片修复前后对比,老玩法换素材,照片生成变龄性别视频,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：照片生成变龄性别视频。,,日报:老玩法换素材、玩法族:照片生成变龄性别视频
recvjfZ8O4ZhMx,2026-05-10,cf0c9216ab83f4352eadf92ce247370b,Remini - AI Photo Enhancer,真人自拍一键转换为惊艳肖像及衰老特效视频,老玩法换素材,照片生成变龄性别视频,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：照片生成变龄性别视频。,,日报:老玩法换素材、玩法族:照片生成变龄性别视频
recvjfZ8O4n6l7,2026-05-10,da54f9f254633d93b0edebb02c0ee1b8,Remini - AI Photo Enhancer,真人照片 AI 修复对比及多样风格模板一键转换,老玩法换素材,照片生成变龄性别视频,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：照片生成变龄性别视频。,,日报:老玩法换素材、玩法族:照片生成变龄性别视频
recvjfZ8O4nuyT,2026-05-10,0aac9906c81e02d471212615c32970b8,Retake AI Face & Selfie Editor,多场景分屏对比展示 AI 自然美颜效果,老玩法换素材,真人照片AI修图前后对比,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：真人照片AI修图前后对比。,,日报:老玩法换素材、玩法族:真人照片AI修图前后对比
recvjfZ8O4qmLX,2026-05-10,23dadfd6d7b8bf5ca4f290dbdfc88dcd,Retake AI Face & Selfie Editor,真人分屏滑动对比展示 AI 自然修图前后效果,老玩法换素材,真人照片AI修图前后对比,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：真人照片AI修图前后对比。,,日报:老玩法换素材、玩法族:真人照片AI修图前后对比
recvjfZ8O4QAJ7,2026-05-10,2b165fe6d6dfe9c8af5a1f76f4203746,Retake AI Face & Selfie Editor,真人照片前后对比滑动展示修复效果,老玩法换素材,真人照片AI修图前后对比,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：真人照片AI修图前后对比。,,版权名人风险、日报:老玩法换素材、玩法族:真人照片AI修图前后对比
recvjfZ8O46k46,2026-05-10,4038ce6fd0de38c93c67adb38cb416fc,Retake AI Face & Selfie Editor,名人风格前后对比展示 AI 人像精修效果,老玩法换素材,真人照片AI修图前后对比,玩法族近 7 天已出现，首次玩法日期 2026-05-05；匹配历史玩法：真人照片AI修图前后对比。,,版权名人风险、日报:老玩法换素材、玩法族:真人照片AI修图前后对比
recvjfZ8O4sNp3,2026-05-10,775cb630a60ae14012e44eba11084a99,AI Mirror: AI Photo & Video,真人照片一键生成手绘素描风格 AI 特效,当前硬拦截,真人照片生成手绘素描头像,命中同步前硬拦截。,,日报:当前硬拦截、玩法族:真人照片生成手绘素描头像
recvjfZ8O4gi4a,2026-05-10,5a59f118472989ffd0e9e19ec0593c8d,Remini - AI Photo Enhancer,定向印度男性用户的免费 1V1 视频聊天社交应用宣传,当前硬拦截,女性片段剪辑 + 亲密场景 + 免费字样引导,命中成人/色情风险硬拦截。,,产品不适配风险、擦边露肤风险、日报:当前硬拦截、玩法族:女性片段剪辑 + 亲密场景 + 免费字样引导
recvjfZ8O4bdXd,2026-05-10,5f4a0a2cbb7c73e05ef16c1cf46480c4,Remini - AI Photo Enhancer,真人情景悬念开场引导 AI 修图转化,当前硬拦截,真人实拍 + 性行为展示 + 底部固定引导文案 + 免费/呼叫标签。,命中成人/色情风险硬拦截。,,产品不适配风险、日报:当前硬拦截、玩法族:真人实拍 + 性行为展示 + 底部固定引导文案 + 免费/呼叫标签。
recvjfZ8O45bv1,2026-05-10,af0011c6b98182be4029032c494f9d50,Retake AI Face & Selfie Editor,多场景真人照片 AI 自然美颜前后对比展示,当前硬拦截,真人照片 + 滑动对比 + 自然美颜 + 多场景,命中高置信玩法 embedding 重复硬拦截。,,embedding重复候选、日报:当前硬拦截、玩法族:真人照片 + 滑动对比 + 自然美颜 + 多场景
recvjfZ8O4qCtL,2026-05-10,ff40cb3bfcfa92fc82c36a94e7a68f62,Retake AI Face & Selfie Editor,AI 人脸照片修复，滑动条前后对比效果,当前硬拦截,真人照片 + 面部优化 + 前后分屏滑动,命中高置信玩法 embedding 重复硬拦截。,,擦边露肤风险、版权名人风险、日报:当前硬拦截、玩法族:真人照片 + 面部优化 + 前后分屏滑动
